corrected,family_ses,pay_per_week
"My name is name] now, I am 25 years old I am married to [name]. We have been married two years nearly. I have an eighteen month old baby. Her name is [name]. We have an Alsatian called Nicky he is a year old. Our bungalow is quite a big one with seven rooms in it. It is situated in the suburbs of Toronto which is in Canada. My husband owns a restaurantin the middle of Toronto. It is called the Flamenco. [name] has to get up at half past five every morning as he has to be at work at six. I have a part time job at a drapers shop which is on the other side of town. Luckily I am allowed to take [name] with me. The drapers shop is owned by my cousin [name] she is only 21. We get on well together and always help each other when we can. [name] is also married and her husband [name] works near [name]. Tuesdays and Thursdays I am at Guides and Brownies. I am Tawny Owl to the brownies and the leader of the guides. [name] has just started to talk now and she has quite a few teeth. She can talk a little bit and we can't wait for the day when she will say sentences. We hope that [name] will be quite bright at school and take an interest in a club out of school. Before we were married [name] and I were partners at Ballroom dancing. We have got over 100 cups and medals for it. We were partners right from being twelve years old. This year we are going to America for our holidays this year, for a month. We are looking forward to it very much. In another year I hope to have an addition to the family. If it's a girl I will call her [name]. If its a boy I will call him [name].  Words: 325",3.0,225.0
I am after a job of a fireman working at the phones and sending the fire engine to the fires and putting them out to put the fires out with the hoses . Then when they come in have a nice meal ready for them and after it go out and clean the fire engine and play at darts with them when they come in. Then when they go home and get their get their dinner have a rest and go to the club. and have a drinks.  Words: 88,4.0,169.25
I am now twenty five years old. And I am now living in* England in a place called [place name] I live in a nice big house where it is very quiet because where it is very quiet because when I went to Ireland when I was young I went on a farm and I didn't get headaches like I do when their a lot of traffic about. And where we live it is not busy and this is a good thing for our child I have got a job as a doctor and there is a lot of money involved in this job and if we keep saving some money every week we will soon have enough money for a car some new furniture and the house being decorated. When my wife goes shopping she does not take our baby boy with her she leaves him with the old woman next door she does not mind because her daughter does her shopping for her. My wife sometimes goes to bingo with her friend and I go down to the club with my neighbor. When my wife and I go out we go to the pictures or up to the park with our child.  Words: 204,4.0,380.0
"I , [ha],, am married with ,3. three children all boys. I ,would be a football player and (1) we would live in (place). my wife would be a housekeeper. my children would (be) go to school. I would have a cat in my free time I would have (10) 2. hour run. and take the children for a ride. I would dig and plant things in my (garden) garden, and I would have a greenhouse. every so often I would go down to see my mum and dad (aj) and friends and my [can*],[ca**] aunts and uncles. And I would try to own my own little shop. and I would play for (team). and England when the football season is over I would play cricket. My shop would be a sport shop.  Words: 132",3.0,541.25
when I am 25 I will be at work and I shall have a car and 1 child and A house to live in and in my house I shall have chris. I am glad to be 25 because I will be big and tall and I shall have a house that when I am 25 my child will be big too we will go on holiday my birthday is on [date of birth] I have not got long to wait I will be very very glad when I am 25 my house will be very very big. big like the school I went to. and I shall have a big bedroom I got one Two threedaysbefore it is my birthday.  Words: 123,2.0,102.5
"I am a footballer playing for Norwich City F.C. I am leading an exciting life. My part time job is keeping a small butcher shop on the [street name]. My house is 4 [street name]. I am married and have three boys. [male name] [male name] and [male name] who is the youngest. My wife's name is [female name]. We have been married four years. The family is a gay one and John the oldest (FOUR) is always coming home with jokes he has been told at school. I have several interests which I like to do Sundays or Thursday. Gardening, Fishing, Reading books, and some others. Theshop I look after when I am not training or playing football makes good money every week. My friend helps and looksafter the shop, when I am playing football. His name is [male name] [surname], I knew him when I was at school. Our birthdays are on the same day as well. Our manager is Ken [Foggs]. He used to play for Norwich City but became manager in 1980. Before he came to Norwich he played for West [Bromich]Albion. He got Player of the Year Award in 1969. I was a fan of his then. Terry [Allcock] is another Norwich City player who now is our chairman. He used to come and train us when I was playing for [school name] School. I have many friends who I met at my old schools. My mother and father still live at 96 [street name] with my youngest brother, [male name], who is fifteen. He is football mad like me and sometimes when he's not studying at the week-end he comes and helps me and [male name] in the shop. My other two brothers [male name] and [male name] have jobs too. [male name] is a vet and [male name] works in a motor car factory near [town].When I finish my football life I hope to just own my little butcher shop. I make quite enough money out of that but I had to have another trade, or my father would never have let me be a footballer. My wife usuallylet's the boys come and support me if I am playing at home. When I play away from home I leave the boys in charge of their mum. in other words I leave them to help until I get back which is usually Saturday night or Sunday morning.  Words: 394",3.0,487.25
"One day I decided to get a job, I had left school and I was looking for a job. I did not know what I wanted to be, so I just wandered about. Then I decided to go and get a job in a clothes shop. When I had the job the manager said I was to have Sunday off and my weekly pay would be �5:10:0. I then went home to tell my mother, my mother was glad. I at to start work tomorrow I was very excited. I that night I could not sleep I was thinking about it all night. until at last the day came I got up at 7 o'clock and dressed. Then I said goodbye to my mother and went to town because the shop was in town. When I got there I was greeted by a young girl about my age she was to work on the same counter as I was. Then I started to work. The first customer was a women with a little boy I served her, she wanted a pair of jeans for her little boy. At first I did not know the price but soon I got used to it. At last the day was over I walked home with Helen the same girl who worked in the same counter as me. When I got home I told my mother how the day went. At last the week was over. On Sunday I went to get my pay I had �6:10:0 pay. I had an extra (10/-) for serving good. The next day was Monday, I went to call Helen we walked together to work. When we got there, there was quite a lot of customers waiting the manager was serving them. When we came in the manager started to shout at us these are the words he said 'you should have been here on time you are [sacked]'. Helen and I was very sad I had'nt had the job for long and I was [sacked] already what awful news. When I got home I told my mother she was very disappointedand she told 'me never mind'. After I was [sacked], I decided I would no  Words: 370",4.0,76.9230769230769
When am 25 I would like to look after little Babieswho have no home and have a home of my own and a husband. go on holidaysto the sea side have a little girl and boy go to holidaysin Spain Dover. Southampton. go dancing with my husband go to the fair with my boy and girl and to see my friend go to London to see all the places  Words: 72,3.0,250.0
I am 25 married and live in a quaint little cottage. I work in a shop and do house work. I started work at 9-00 and finished at 6-00 with an hour for lunch. There are not many people in the village so the shop is not very busy I read a lot so i don't often get bored. My home life is spent cooking or cleaning and rarely relaxing*. The time when I do relax* is spent reading. I sew many of my clothes. I enjoy talking to the villagers as they spread so many superstitions. Another helper in the shop is very fussy about the floor being washed every day and every shelf washed daily. I watch the children play on saturdays and after school hours. The joyous voices enchant me. My husbands job is photography. I have a daughter who serves in the shop from time to time but never uses the till. My life is full so I never sit in the garden I love. My parents live 15 miles away I see them every week in *********. I enjoy my life tremendously *.  Words: 187,3.0,400.0
"My name is [name]. I left school when I was 18, and went to [city] University to study plants because I wanted to be a landscape gardener. I was a t University for three years. I **** from home to [city] every day, they closed the station down in my home village so this made traveling very expensive but I managed, my farther worked at the University as well and sometimes we went in the car. I was at University for three years then I got my degree as a fully qualified landscape gardener. Although I had got my degree I found getting work very hard because I was a girl, it was about three months before I was given a contract to disneya very big garden, it took a few months to finish the garden but when I did finish the owner was very pleased and told a few friends about it and I got quite a lot more contracts. That was four years ago and now I have a big house in London and I am quite well known. I have not got a very big garden at my house because I have not got time to keep it tidy for I spend so much time on other peoples gardens.  Words: 212",3.0,438.75
"When I am 25 I would be a teacher. I would cook a lot and sew. If I got married I would sew and knit for my children. Sometimes I think I would like to be a dressmaker. I hope to have a boy and a girl. I would still read a lot as I like books. I would live in a flat or even a cottage. My husband will be rich. I will have a car and lots of lovely clothes. When I get older I will stop teaching and work in my house. I will not have too many friends as I might get tired of them. I will invite some of my friends to tea and I will chat with them. I hope to travel abroad with my husband and children and also go to France or Italy.I will go to London to see the famous places and shops. I will draw in my spare time. Sometimes I might write a book on sewing hints and tips. I would like to spend a week in Guernsey or the Channel Islands. I will have a dog to guard my house and a kitten to keep me company. I will plan my house with care. I shall have three bedrooms, a kitchen, a living room, a lounge a spare room a bathroom and a playroom. I will have my living room furnished with an orange lamp, a book case, a sette with matching chairs a sunbeam fire and a television, radio, and paper stand. I think my house will be beautiful.  Words: 262",4.0,480.769230769231
"I am 25 years old and I am a fully trained helicopter pilot operating with the RAF on combat movement training rescue teams for the coastalcommand. I have only been fully trained about a year, I had to have aninstructor with me then but now I fly without one. my interests is still football, when I was a boy I wanted to play for a team like leicester boys but i did'nt make it. I do not have much home life because I am always away the only time I go home is when I am on leave, most of the I only get weekend's off so I stay one day with my father and the other with my mother. my brother who is now 32 years odd, and have a permanentjob as a mechanic. Talk's a lot (1) about his job to me, and and I talk to him about my job too. I enjoy my leave but I like flying very much indeed I did'nt want to jet fighter (1)pilot because I dont like to go too fast so became helicopterpilotinstead my football career was not very hopefulbecause nobody took any notice of my but I play for our helicopter team, play in goal my teammates (2) think I am (1) very good. I must get back to work, this is no emergency call this the real thing a lightning has [diched] in the [cannel] we have to pick him up when we got there a french helicopter beat us to it he had already be picked up. That is my life at twenty five.  Words: 268",4.0,297.692307692308
My name is [male name] [surname]* I am 25 years old my work is a repairer. I live in a flat. The number of the flat door is 606. I live in New York. There are 72 floors in my flat insidethey have 2. rooms the living room and The o bedroom I am a animals lover I have a dog and three cats. New York is lovely the** [unight*] stark* I have been to I [wa dorn] in [month] 1958. My friend is 25 years old. I am married I have three son and I have one girl They are five altogether. One day when I was at work I foundthe mice they weredying of starvation. I took them home and they eat meat and drink milk.  Words: 128,2.0,800.0
